Place Of Infection,Location Name,First Human case reported,Number of human cases,Number of confirmed human cases,Number of outbreaks in Equids,Number of outbreaks in Birds
AT112,Nordburgenland,2022-08-22,1,1,,1
AT127,Wiener Umland/Südteil,2022-08-04,2,2,,
AT130,Wien,2022-08-25,3,3,1,1
DE300,Berlin,2022-08-02,4,4,,25
DE406,Dahme-Spreewald,2022-08-29,1,1,1,
DE40H,Teltow-Fläming,2022-07-24,1,1,1,
DED44,Vogtlandkreis,2022-08-23,1,1,,
DED51,"Leipzig, Kreisfreie Stadt",2022-08-12,2,2,,
DED52,Leipzig,2022-09-24,1,1,1,
DEE02,"Halle (Saale), Kreisfreie Stadt",2022-11-09,1,1,,1
DEE03,"Magdeburg, Kreisfreie Stadt",2022-10-02,1,1,,4
DEE09,Harz,2022-08-05,1,1,,
DEE0B,Saalekreis,2022-08-23,2,2,1,
DEE0C,Salzlandkreis,2022-09-15,1,1,,4
EL514,Drama,2022-09-04,2,1,,
EL515,"Thasos, Kavala",2022-08-25,3,2,,
EL521,Imathia,2022-07-12,46,26,,
EL522,Thessaloniki,2022-06-23,117,64,2,
EL523,Kilkis,2022-07-18,13,7,1,
EL524,Pella,2022-07-18,18,7,,
EL525,Pieria,2022-08-02,9,4,,
EL526,Serres,2022-08-03,10,9,,
EL527,Chalkidiki,2022-07-22,22,14,3,
EL611,"Karditsa, Trikala",2022-07-29,3,2,,
EL612,Larisa,2022-07-05,37,31,,
EL624,Lefkada,2022-09-20,1,1,,
EL642,Evvoia,2022-09-23,1,1,1,
EL644,Fthiotida,2022-08-20,1,1,,
ES514,Tarragona,2022-08-16,2,1,1,2
ES612,Cádiz,2022-09-16,1,1,1,1
ES613,Córdoba,2022-10-02,1,1,,
FRL04,Bouches-du-Rhône,2022-08-25,2,1,,
FRL05,Var,2022-08-15,4,2,3,
HR025,Osje?ko-baranjska županija,2022-08-01,4,4,2,
HR026,Vukovarsko-srijemska županija,2022-08-19,2,2,1,
HR050,Grad Zagreb,2022-07-04,1,1,1,
HR065,Zagreba?ka županija,2022-08-25,1,1,1,1
HU120,Pest,2022-08-05,3,3,2,
HU221,Gy?r-Moson-Sopron,2022-08-12,2,2,,1
HU232,Somogy,2022-08-27,1,,,
HU312,Heves,2022-08-16,2,2,,
HU321,Hajdú-Bihar,2022-09-27,1,,,
HU323,Szabolcs-Szatmár-Bereg,2022-09-06,1,,,
HU333,Csongrád,2022-08-12,4,2,,
ITC11,Torino,2022-07-28,9,9,2,3
ITC12,Vercelli,2022-07-11,10,10,,1
ITC13,Biella,2022-09-10,2,2,1,
ITC15,Novara,2022-07-06,16,16,1,1
ITC16,Cuneo,2022-08-04,4,4,3,5
ITC17,Asti,2022-07-13,9,9,1,1
ITC18,Alessandria,2022-07-30,8,8,,1
ITC41,Varese,2022-08-17,3,3,1,3
ITC43,Lecco,2022-10-23,1,1,,
ITC46,Bergamo,2022-08-17,6,6,,1
ITC47,Brescia,2022-07-01,26,26,5,2
ITC48,Pavia,2022-08-10,7,7,,4
ITC49,Lodi,2022-07-12,12,12,,
ITC4A,Cremona,2022-07-24,17,17,1,3
ITC4B,Mantova,2022-07-14,12,12,2,2
ITC4C,Milano,2022-07-26,14,14,,3
ITC4D,Monza e della Brianza,2022-08-22,3,3,,4
ITG11,Trapani,2022-08-04,3,3,4,
ITG17,Catania,2022-09-17,1,1,2,
ITG2F,Cagliari,2022-09-02,1,1,,
ITG2G,Oristano,2022-07-21,7,7,,3
ITH31,Verona,2022-07-12,31,31,,13
ITH32,Vicenza,2022-07-17,39,39,2,11
ITH33,Belluno,2022-08-17,1,1,,
ITH34,Treviso,2022-06-27,28,28,2,1
ITH35,Venezia,2022-06-29,82,82,1,42
ITH36,Padova,2022-04-16,217,217,6,40
ITH37,Rovigo,2022-07-12,36,36,,31
ITH41,Pordenone,2022-07-31,14,14,2,2
ITH42,Udine,2022-08-08,5,5,2,8
ITH43,Gorizia,2022-08-13,1,1,,
ITH51,Piacenza,2022-07-13,20,20,1,9
ITH52,Parma,2022-07-19,10,10,1,9
ITH53,Reggio nell’Emilia,2022-07-17,8,8,,2
ITH54,Modena,2022-07-05,12,12,,1
ITH55,Bologna,2022-07-29,9,9,1,9
ITH56,Ferrara,2022-07-06,19,19,2,15
ITH57,Ravenna,2022-07-16,14,14,1,5
ITH58,Forlì-Cesena,2022-07-24,3,3,,
ITI12,Lucca,2022-08-09,1,1,,
ITI13,Pistoia,2022-07-27,2,2,,
MK007,Severoisto?en,2022-08-09,1,,,
RO122,Bra?ov,2022-09-03,1,1,,
RO126,Sibiu,2022-09-02,1,1,,
RO212,Boto?ani,2022-09-02,1,1,,
RO213,Ia?i,2022-08-08,3,3,,
RO221,Br?ila,2022-08-26,2,2,,
RO223,Constan?a,2022-07-24,5,5,,
RO224,Gala?i,2022-08-01,3,3,,
RO313,Dâmbovi?a,2022-08-01,2,2,,
RO314,Giurgiu,2022-08-11,2,2,,
RO321,Bucure?ti,2022-07-15,21,20,,
RO322,Ilfov,2022-08-08,5,5,,
RO414,Olt,2022-08-08,1,1,,
RSG125372,Branicevski,2022-08-01,13,10,,
RSG125373,Grad Beograd,2022-06-30,97,93,,
RSG125375,Juzno-backi,2022-07-02,16,16,,
RSG125376,Juzno-banatski,2022-06-24,21,20,,
RSG125377,Kolubarski,2022-08-05,4,2,,
RSG125381,Macvanski,2022-07-22,4,3,,
RSG125382,Moravicki,2022-07-18,1,1,,
RSG125387,Podunavski,2022-08-03,8,5,,
RSG125388,Pomoravski,2022-08-09,4,3,,
RSG125390,Rasinski,2022-08-08,1,,,
RSG125392,Severno-backi,2022-08-05,1,1,,
RSG125393,Severno-banatski,2022-08-01,2,2,,
RSG125394,Srednje-banatski,2022-07-09,7,7,,
RSG125395,Sremski,2022-07-14,13,12,,
RSG125396,Sumadijski,2022-07-26,30,29,,
RSG125399,Zapadno-backi,2022-07-10,4,4,,
SK010,Bratislavský kraj,2022-07-01,1,,,
DE408,Havelland,,,,1,
DE40B,Oberspreewald-Lausitz,,,,1,
DE600,Hamburg,,,,1,1
DE80O,Ludwigslust-Parchim,,,,1,
DED53,Nordsachsen,,,,1,
DEE04,Altmarkkreis Salzwedel,,,,2,
DEE07,Börde,,,,1,1
DEE0D,Stendal,,,,1,
DEE0E,Wittenberg,,,,1,1
DEG01,"Erfurt, Kreisfreie Stadt",,,,1,1
DEG0A,Kyffhäuserkreis,,,,1,
EL541,"Arta, Preveza",,,,2,
ES431,Badajoz,,,,3,
ES523,Valencia/València,,,,1,
ES618,Sevilla,,,,2,
FRI12,Gironde,,,,2,
FRM02,Haute-Corse,,,,1,
HR022,Viroviti?ko-podravska županija,,,,1,
HR024,Brodsko-posavska županija,,,,1,
HR064,Krapinsko-zagorska županija,,,,1,1
HU212,Komárom-Esztergom,,,,1,
ITF31,Caserta,,,,2,3
ITG12,Palermo,,,,1,
PT181,Alentejo Litoral,,,,1,
PT184,Baixo Alentejo,,,,1,
PT186,Alto Alentejo,,,,1,
DE405,Barnim,,,,,1
DE40E,Potsdam-Mittelmark,,,,,2
DED21,"Dresden, Kreisfreie Stadt",,,,,6
DED2D,Görlitz,,,,,2
DED2E,Meißen,,,,,1
DEE08,Burgenlandkreis,,,,,1
ES411,Ávila,,,,,1
ES415,Salamanca,,,,,1
ES513,Lleida,,,,,4
ITC14,Verbano-Cusio-Ossola,,,,,4
ITF62,Crotone,,,,,2
ITG2D,Sassari,,,,,4
ITG2E,Nuoro,,,,,1
ITG2H,Sud Sardegna,,,,,6
ITH59,Rimini,,,,,2
ITI21,Perugia,,,,,1
